[front_panel]
mode=T2 - R2
output=20 dB
gain=25 dB
probe1=2 MHz
probe2=2 MHz

[measure]
selection=1
samplerate=1
begin=0
end=100
sound speed=2700
units=1

[ascan]
fft filter=0
fft middle=2
fft width=2
fft gate=5
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Depth [mm]	Amplitude	
1,134E+01	1,870E-02	
1,137E+01	1,870E-02	
1,139E+01	1,874E-02	
1,142E+01	1,883E-02	
1,145E+01	1,898E-02	
1,148E+01	1,921E-02	
1,150E+01	1,950E-02	
1,153E+01	1,986E-02	
1,156E+01	2,029E-02	
1,158E+01	2,076E-02	
1,161E+01	2,126E-02	
1,164E+01	2,178E-02	
1,166E+01	2,230E-02	
1,169E+01	2,279E-02	
1,172E+01	2,323E-02	
1,174E+01	2,360E-02	
1,177E+01	2,389E-02	
1,180E+01	2,409E-02	
1,183E+01	2,418E-02	
1,185E+01	2,417E-02	
1,188E+01	2,406E-02	
1,191E+01	2,386E-02	
1,193E+01	2,358E-02	
1,196E+01	2,326E-02	
1,199E+01	2,290E-02	
1,202E+01	2,254E-02	
1,204E+01	2,220E-02	
1,207E+01	2,191E-02	
1,210E+01	2,170E-02	
1,212E+01	2,159E-02	
1,215E+01	2,160E-02	
1,218E+01	2,175E-02	
1,220E+01	2,204E-02	
1,223E+01	2,247E-02	
1,226E+01	2,306E-02	
1,228E+01	2,378E-02	
1,231E+01	2,462E-02	
1,234E+01	2,556E-02	
1,237E+01	2,659E-02	
1,239E+01	2,766E-02	
1,242E+01	2,875E-02	
1,245E+01	2,983E-02	
1,247E+01	3,087E-02	
1,250E+01	3,183E-02	
1,253E+01	3,269E-02	
1,256E+01	3,342E-02	
1,258E+01	3,400E-02	
1,261E+01	3,441E-02	
1,264E+01	3,465E-02	
1,266E+01	3,469E-02	
1,269E+01	3,456E-02	
1,272E+01	3,424E-02	
1,274E+01	3,376E-02	
1,277E+01	3,312E-02	
1,280E+01	3,235E-02	
1,282E+01	3,147E-02	
1,285E+01	3,050E-02	
1,288E+01	2,948E-02	
1,291E+01	2,843E-02	
1,293E+01	2,738E-02	
1,296E+01	2,636E-02	
1,299E+01	2,539E-02	
1,301E+01	2,451E-02	
1,304E+01	2,372E-02	
1,307E+01	2,305E-02	
1,310E+01	2,250E-02	
1,312E+01	2,207E-02	
1,315E+01	2,178E-02	
1,318E+01	2,161E-02	
1,320E+01	2,155E-02	
1,323E+01	2,160E-02	
1,326E+01	2,173E-02	
1,328E+01	2,192E-02	
1,331E+01	2,216E-02	
1,334E+01	2,242E-02	
1,336E+01	2,268E-02	
1,339E+01	2,292E-02	
1,342E+01	2,311E-02	
1,345E+01	2,326E-02	
1,347E+01	2,333E-02	
1,350E+01	2,334E-02	
1,353E+01	2,326E-02	
1,355E+01	2,309E-02	
1,358E+01	2,285E-02	
1,361E+01	2,254E-02	
1,364E+01	2,217E-02	
1,366E+01	2,175E-02	
1,369E+01	2,130E-02	
1,372E+01	2,082E-02	
1,374E+01	2,035E-02	
1,377E+01	1,988E-02	
1,380E+01	1,945E-02	
1,382E+01	1,905E-02	
1,385E+01	1,870E-02	
1,388E+01	1,840E-02	
1,391E+01	1,816E-02	
1,393E+01	1,797E-02	
1,396E+01	1,784E-02	
1,399E+01	1,775E-02	
1,401E+01	1,771E-02	
1,404E+01	1,768E-02	
1,407E+01	1,768E-02	
1,409E+01	1,767E-02	
1,412E+01	1,766E-02	
1,415E+01	1,762E-02	
1,418E+01	1,755E-02	
1,420E+01	1,745E-02	
1,423E+01	1,731E-02	
1,426E+01	1,713E-02	
1,428E+01	1,691E-02	
1,431E+01	1,665E-02	
1,434E+01	1,638E-02	
1,436E+01	1,609E-02	
1,439E+01	1,581E-02	
1,442E+01	1,553E-02	
