time [µs]	Amp[V]	HF [V]	TGC [dB]
58,7	0,008	-0,006	30,709
58,8	0,007	0,009	30,866
58,9	0,006	0,002	30,709
59,0	0,006	0,002	30,709
59,1	0,006	0,002	30,866
59,2	0,007	-0,006	30,866
59,3	0,008	-0,006	30,866
59,4	0,011	0,009	30,866
59,5	0,014	0,009	30,866
59,6	0,016	0,002	30,866
59,7	0,016	-0,014	30,866
59,8	0,013	-0,014	30,866
59,9	0,009	0,002	30,709
60,0	0,006	0,002	30,709
60,1	0,005	0,002	30,709
60,2	0,006	-0,006	30,709
60,3	0,008	0,009	30,709
60,4	0,010	-0,006	30,709
60,5	0,010	0,002	30,866
60,6	0,008	0,002	30,866
60,7	0,006	-0,006	30,866
60,8	0,006	0,002	30,866
60,9	0,006	-0,006	30,866
61,0	0,008	0,009	30,866
61,1	0,010	-0,006	30,866
61,2	0,011	0,009	30,866
61,3	0,012	-0,006	30,709
61,4	0,012	-0,006	30,709
61,5	0,012	0,002	30,709
61,6	0,010	-0,014	30,709
61,7	0,008	0,002	30,866
61,8	0,007	-0,006	30,866
61,9	0,005	0,002	30,866
62,0	0,004	0,002	30,709
62,1	0,002	0,002	30,866
62,2	0,001	0,002	30,866
62,3	0,001	0,002	30,866
62,4	0,002	0,002	30,866
62,5	0,004	0,002	30,866
62,6	0,006	0,002	30,709
62,7	0,007	-0,006	30,709
62,8	0,007	-0,006	30,709
62,9	0,006	0,002	30,709
63,0	0,006	-0,006	30,866
63,1	0,006	-0,006	30,866
63,2	0,007	-0,006	30,866
63,3	0,008	-0,006	30,866
63,4	0,009	-0,006	30,866
63,5	0,010	0,009	30,866
63,6	0,010	0,002	30,866
63,7	0,011	-0,006	30,866
63,8	0,012	-0,014	30,866
63,9	0,011	0,009	30,709
64,0	0,010	0,002	30,709
64,1	0,008	0,009	30,709
64,2	0,008	-0,006	30,709
64,3	0,008	0,002	30,709
64,4	0,008	0,002	30,709
64,5	0,008	-0,006	30,866
64,6	0,008	-0,006	30,866
64,7	0,008	-0,006	30,866
64,8	0,008	0,002	30,866
64,9	0,009	0,009	30,866
65,0	0,010	-0,006	30,866
65,1	0,009	0,002	30,866
65,2	0,008	0,002	30,709
65,3	0,006	-0,006	30,709
65,4	0,005	0,002	30,709
65,5	0,006	-0,006	30,709
65,6	0,007	-0,006	30,709
65,7	0,007	0,002	30,866
65,8	0,007	0,002	30,866
65,9	0,006	-0,006	30,866
66,0	0,006	0,002	30,866
66,1	0,007	0,002	30,866
66,2	0,009	0,009	30,866
66,3	0,010	-0,006	30,866
66,4	0,009	-0,006	30,866
66,5	0,007	-0,006	30,709
66,6	0,004	0,002	30,709
66,7	0,003	0,002	30,709
66,8	0,003	0,002	30,709
66,9	0,004	0,002	30,866
67,0	0,006	-0,006	30,866
67,1	0,007	-0,006	30,866
67,2	0,006	0,002	30,866
67,3	0,006	0,002	30,866
67,4	0,005	-0,006	30,866
67,5	0,006	-0,006	30,866
67,6	0,007	0,002	30,866
67,7	0,008	0,002	30,866
67,8	0,008	-0,006	30,709
67,9	0,008	0,009	30,709
68,0	0,008	-0,006	30,709
68,1	0,008	0,002	30,866
68,2	0,007	0,002	30,866
68,3	0,005	0,002	30,866
68,4	0,003	0,002	30,866
68,5	0,002	0,002	30,866
68,6	0,003	0,002	30,866
68,7	0,006	0,002	30,866
68,8	0,011	-0,006	30,866
68,9	0,015	-0,006	30,866
69,0	0,016	0,017	30,866
69,1	0,014	-0,006	30,709
69,2	0,009	-0,006	30,709
69,3	0,004	0,002	30,866
69,4	0,003	0,002	30,709
69,5	0,006	-0,006	30,866
69,6	0,011	-0,006	30,866
69,7	0,015	0,009	30,866
69,8	0,016	0,009	30,866
69,9	0,014	-0,014	30,866
70,0	0,010	-0,006	30,866
70,1	0,007	0,002	30,866
70,2	0,006	-0,006	30,866
70,3	0,006	-0,006	30,709
70,4	0,007	0,002	30,709
70,5	0,008	-0,006	30,866
70,6	0,007	0,002	30,709
70,7	0,007	0,002	30,709
70,8	0,007	0,009	30,866
